tenor,treasury_nominal,ig_index_spread,real_fwd,spread_AAA,real_cod_AAA,spread_AA,real_cod_AA,spread_A,real_cod_A,spread_BBB,real_cod_BBB,spread_BB,real_cod_BB,spread_B,real_cod_B,spread_CCC,real_cod_CCC
1.0,4.12,0.5,1.9434,0.2658,2.2092,0.3544,2.2978,0.4241,2.3674,0.6139,2.5573,1.019,2.9624,1.8481,3.7915,6.1582,8.1016
2.0,4.26,0.5,1.9925,0.2658,2.2583,0.3544,2.3469,0.4241,2.4165,0.6139,2.6064,1.019,3.0115,1.8481,3.8406,6.1582,8.1507
3.0,4.3,0.59,2.0436,0.3137,2.3572,0.4182,2.4618,0.5004,2.544,0.7244,2.768,1.2024,3.246,2.1808,4.2243,7.2667,9.3103
4.0,4.335,0.68,2.1074,0.3615,2.469,0.482,2.5895,0.5767,2.6842,0.8349,2.9424,1.3858,3.4933,2.5134,4.6209,8.3752,10.4826
5.0,4.37,0.74,2.1964,0.3934,2.5899,0.5246,2.721,0.6276,2.824,0.9086,3.105,1.5081,3.7045,2.7352,4.9316,9.1142,11.3106
6.0,4.425,0.8,2.3196,0.4253,2.7449,0.5671,2.8867,0.6785,2.9981,0.9823,3.3019,1.6304,3.95,2.957,5.2766,9.8532,12.1728
7.0,4.48,0.86,2.4751,0.4572,2.9323,0.6096,3.0847,0.7294,3.2044,1.0559,3.531,1.7527,4.2277,3.1787,5.6538,10.5922,13.0672
8.0,4.5267,0.92,2.6533,0.4891,3.1424,0.6522,3.3054,0.7803,3.4335,1.1296,3.7829,1.8749,4.5282,3.4005,6.0538,11.3311,13.9844
9.0,4.5733,0.9488,2.8407,0.5044,3.3451,0.6725,3.5132,0.8046,3.6453,1.1649,4.0056,1.9335,4.7742,3.5068,6.3474,11.6852,14.5259
10.0,4.62,0.9462,3.023,0.5031,3.526,0.6708,3.6937,0.8025,3.8255,1.1619,4.1848,1.9284,4.9514,3.4975,6.5205,11.6544,14.6774
11.0,4.669,0.9438,3.188,0.5017,3.6897,0.669,3.857,0.8004,3.9884,1.1588,4.3468,1.9233,5.1113,3.4883,6.6763,11.6237,14.8116
12.0,4.718,0.9412,3.3269,0.5004,3.8273,0.6672,3.9941,0.7983,4.1252,1.1557,4.4826,1.9182,5.2451,3.4791,6.8059,11.5929,14.9198
13.0,4.767,0.944,3.4347,0.5019,3.9366,0.6692,4.1039,0.8006,4.2353,1.1591,4.5938,1.9238,5.3585,3.4892,6.9239,11.6267,15.0614
14.0,4.816,0.952,3.5098,0.5061,4.0159,0.6748,4.1847,0.8074,4.3172,1.1689,4.6787,1.9402,5.45,3.5188,7.0286,11.7253,15.2351
15.0,4.865,0.96,3.5536,0.5104,4.064,0.6805,4.2341,0.8142,4.3678,1.1787,4.7323,1.9565,5.51,3.5484,7.1019,11.8238,15.3774
16.0,4.914,0.968,3.5694,0.5146,4.084,0.6862,4.2556,0.821,4.3904,1.1886,4.7579,1.9728,5.5422,3.5779,7.1473,11.9223,15.4917
17.0,4.963,0.976,3.562,0.5189,4.0809,0.6918,4.2538,0.8277,4.3897,1.1984,4.7604,1.9891,5.551,3.6075,7.1695,12.0209,15.5828
18.0,5.012,0.984,3.5366,0.5231,4.0598,0.6975,4.2342,0.8345,4.3712,1.2082,4.7448,2.0054,5.542,3.6371,7.1737,12.1194,15.656
19.0,5.061,0.992,3.4986,0.5274,4.026,0.7032,4.2018,0.8413,4.3399,1.218,4.7166,2.0217,5.5203,3.6666,7.1652,12.2179,15.7165
20.0,5.11,1.0,3.4522,0.5316,3.9839,0.7089,4.1611,0.8481,4.3003,1.2278,4.6801,2.038,5.4902,3.6962,7.1484,12.3165,15.7687
21.0,5.109,1.0,3.4004,0.5316,3.932,0.7089,4.1092,0.8481,4.2485,1.2278,4.6282,2.038,5.4383,3.6962,7.0966,12.3165,15.7168
22.0,5.108,1.0,3.3442,0.5316,3.8758,0.7089,4.053,0.8481,4.1923,1.2278,4.572,2.038,5.3821,3.6962,7.0404,12.3165,15.6606
23.0,5.107,1.0,3.2854,0.5316,3.8171,0.7089,3.9943,0.8481,4.1335,1.2278,4.5133,2.038,5.3234,3.6962,6.9816,12.3165,15.6019
24.0,5.106,1.0,3.2263,0.5316,3.758,0.7089,3.9352,0.8481,4.0744,1.2278,4.4542,2.038,5.2643,3.6962,6.9225,12.3165,15.5428
25.0,5.105,1.0,3.1694,0.5316,3.7011,0.7089,3.8783,0.8481,4.0175,1.2278,4.3973,2.038,5.2074,3.6962,6.8656,12.3165,15.4859
26.0,5.104,1.0,3.1177,0.5316,3.6493,0.7089,3.8266,0.8481,3.9658,1.2278,4.3455,2.038,5.1557,3.6962,6.8139,12.3165,15.4341
27.0,5.103,1.0,3.0742,0.5316,3.6058,0.7089,3.783,0.8481,3.9223,1.2278,4.302,2.038,5.1122,3.6962,6.7704,12.3165,15.3906
28.0,5.102,1.0,3.0416,0.5316,3.5733,0.7089,3.7505,0.8481,3.8897,1.2278,4.2695,2.038,5.0796,3.6962,6.7378,12.3165,15.3581
29.0,5.101,1.0,3.0217,0.5316,3.5534,0.7089,3.7306,0.8481,3.8698,1.2278,4.2496,2.038,5.0597,3.6962,6.7179,12.3165,15.3382
30.0,5.1,1.0,3.0142,0.5316,3.5458,0.7089,3.7231,0.8481,3.8623,1.2278,4.242,2.038,5.0522,3.6962,6.7104,12.3165,15.3307
