tenor,treasury_nominal,ig_index_spread,real_fwd,spread_AAA,real_cod_AAA,spread_AA,real_cod_AA,spread_A,real_cod_A,spread_BBB,real_cod_BBB,spread_BB,real_cod_BB,spread_B,real_cod_B,spread_CCC,real_cod_CCC
1.0,4.04,0.48,0.019058,0.248889,0.021597,0.361481,0.022748,0.402963,0.023172,0.592593,0.025114,0.93037,0.028583,1.688889,0.036415,6.139259,0.083581
2.0,4.24,0.48,0.01986,0.248889,0.022401,0.361481,0.023553,0.402963,0.023978,0.592593,0.025921,0.93037,0.029393,1.688889,0.03723,6.139259,0.084433
3.0,4.31,0.59,0.020678,0.305926,0.023805,0.444321,0.025223,0.495309,0.025746,0.728395,0.028139,1.14358,0.032417,2.075926,0.042088,7.546173,0.10068
4.0,4.36,0.7,0.021611,0.362963,0.025326,0.52716,0.027011,0.587654,0.027633,0.864198,0.030478,1.35679,0.035567,2.462963,0.047086,8.953086,0.117297
5.0,4.41,0.77,0.022772,0.399259,0.026863,0.579877,0.02872,0.64642,0.029405,0.950617,0.032541,1.492469,0.038151,2.709259,0.05086,9.848395,0.128625
6.0,4.48,0.84,0.024235,0.435556,0.028706,0.632593,0.030735,0.705185,0.031484,1.037037,0.034912,1.628148,0.041048,2.955556,0.054959,10.743704,0.140405
7.0,4.55,0.904,0.025976,0.468741,0.030796,0.68079,0.032985,0.758914,0.033792,1.116049,0.037491,1.752198,0.044112,3.180741,0.059134,11.562272,0.151732
8.0,4.6,0.968,0.027898,0.501926,0.033071,0.728988,0.035419,0.812642,0.036285,1.195062,0.040256,1.876247,0.047366,3.405926,0.063511,12.38084,0.163374
9.0,4.65,0.9975,0.029871,0.517222,0.035211,0.751204,0.037636,0.837407,0.038531,1.231481,0.042632,1.933426,0.049976,3.509722,0.066658,12.758148,0.170013
10.0,4.7,0.9925,0.03176,0.51463,0.037084,0.747438,0.039501,0.83321,0.040393,1.225309,0.044481,1.923735,0.051801,3.49213,0.068427,12.694198,0.17141
11.0,4.751,0.9875,0.033457,0.512037,0.038762,0.743673,0.041171,0.829012,0.04206,1.219136,0.046133,1.914043,0.053428,3.474537,0.069996,12.630247,0.172586
12.0,4.802,0.9825,0.034877,0.509444,0.040162,0.739907,0.042562,0.824815,0.043448,1.212963,0.047506,1.904352,0.054773,3.456944,0.071278,12.566296,0.173447
13.0,4.853,0.983333,0.035978,0.509877,0.041274,0.740535,0.043678,0.825514,0.044566,1.213992,0.048631,1.905967,0.055913,3.459877,0.072449,12.576955,0.174821
14.0,4.904,0.99,0.036752,0.513333,0.042088,0.745556,0.04451,0.831111,0.045404,1.222222,0.049501,1.918889,0.056838,3.483333,0.073502,12.662222,0.176701
15.0,4.955,0.996667,0.037218,0.51679,0.042592,0.750576,0.045032,0.836708,0.045933,1.230453,0.050059,1.931811,0.057449,3.50679,0.074236,12.74749,0.178234
16.0,5.006,1.003333,0.037414,0.520247,0.042825,0.755597,0.045282,0.842305,0.046189,1.238683,0.050344,1.944733,0.057786,3.530247,0.074691,12.832757,0.179462
17.0,5.057,1.01,0.037389,0.523704,0.042836,0.760617,0.04531,0.847901,0.046223,1.246914,0.050406,1.957654,0.057898,3.553704,0.074918,12.918025,0.18044
18.0,5.108,1.016667,0.037197,0.52716,0.042679,0.765638,0.045169,0.853498,0.046088,1.255144,0.050298,1.970576,0.057839,3.57716,0.074971,13.003292,0.181229
19.0,5.159,1.023333,0.036889,0.530617,0.042405,0.770658,0.04491,0.859095,0.045835,1.263374,0.050072,1.983498,0.057661,3.600617,0.074903,13.08856,0.181884
20.0,5.21,1.03,0.036508,0.534074,0.042058,0.775679,0.044579,0.864691,0.045509,1.271605,0.049772,1.99642,0.057409,3.624074,0.07476,13.173827,0.182458
21.0,5.212,1.03,0.036084,0.534074,0.041632,0.775679,0.044152,0.864691,0.045081,1.271605,0.049343,1.99642,0.056976,3.624074,0.074321,13.173827,0.181974
22.0,5.214,1.03,0.035634,0.534074,0.041179,0.775679,0.043698,0.864691,0.044627,1.271605,0.048887,1.99642,0.056517,3.624074,0.073854,13.173827,0.181461
23.0,5.216,1.03,0.035176,0.534074,0.04072,0.775679,0.043237,0.864691,0.044166,1.271605,0.048424,1.99642,0.05605,3.624074,0.07338,13.173827,0.180939
24.0,5.218,1.03,0.034731,0.534074,0.040272,0.775679,0.042788,0.864691,0.043717,1.271605,0.047973,1.99642,0.055596,3.624074,0.072918,13.173827,0.180431
25.0,5.22,1.03,0.034319,0.534074,0.039858,0.775679,0.042373,0.864691,0.043301,1.271605,0.047555,1.99642,0.055176,3.624074,0.072491,13.173827,0.179961
26.0,5.222,1.03,0.033963,0.534074,0.0395,0.775679,0.042015,0.864691,0.042943,1.271605,0.047195,1.99642,0.054813,3.624074,0.072122,13.173827,0.179556
27.0,5.224,1.03,0.033688,0.534074,0.039224,0.775679,0.041738,0.864691,0.042665,1.271605,0.046917,1.99642,0.054532,3.624074,0.071837,13.173827,0.179242
28.0,5.226,1.03,0.033514,0.534074,0.039049,0.775679,0.041562,0.864691,0.04249,1.271605,0.04674,1.99642,0.054355,3.624074,0.071656,13.173827,0.179043
29.0,5.228,1.03,0.033454,0.534074,0.038988,0.775679,0.041501,0.864691,0.042429,1.271605,0.046679,1.99642,0.054293,3.624074,0.071594,13.173827,0.178974
30.0,5.23,1.03,0.033502,0.534074,0.039037,0.775679,0.04155,0.864691,0.042478,1.271605,0.046728,1.99642,0.054343,3.624074,0.071644,13.173827,0.179029
