tenor,market_erp
1.0,3.5434
2.0,4.5127
3.0,3.9895
4.0,3.9861
5.0,3.9759
6.0,3.9588
7.0,3.9349
8.0,3.9042
9.0,3.8666
10.0,3.8222
11.0,3.771
12.0,3.7129
13.0,3.648
14.0,3.5763
15.0,3.4978
16.0,3.4124
17.0,3.3202
18.0,3.2212
19.0,3.1153
20.0,3.0026
21.0,2.8831
22.0,2.7567
23.0,2.6235
24.0,2.4835
25.0,2.3367
26.0,2.183
27.0,2.0225
28.0,1.8552
29.0,1.681
30.0,1.5
31.0,1.5
32.0,1.5
33.0,1.5
34.0,1.5
35.0,1.5
36.0,1.5
37.0,1.5
38.0,1.5
39.0,1.5
40.0,1.5
41.0,1.5
42.0,1.5
43.0,1.5
44.0,1.5
45.0,1.5
46.0,1.5
47.0,1.5
48.0,1.5
49.0,1.5
50.0,1.5
51.0,1.5
52.0,1.5
53.0,1.5
54.0,1.5
55.0,1.5
56.0,1.5
57.0,1.5
58.0,1.5
59.0,1.5
60.0,1.5
61.0,1.5
62.0,1.5
63.0,1.5
64.0,1.5
65.0,1.5
66.0,1.5
67.0,1.5
68.0,1.5
69.0,1.5
70.0,1.5
71.0,1.5
72.0,1.5
73.0,1.5
74.0,1.5
75.0,1.5
76.0,1.5
77.0,1.5
78.0,1.5
79.0,1.5
80.0,1.5
81.0,1.5
82.0,1.5
83.0,1.5
84.0,1.5
85.0,1.5
86.0,1.5
87.0,1.5
88.0,1.5
89.0,1.5
90.0,1.5
91.0,1.5
92.0,1.5
93.0,1.5
94.0,1.5
95.0,1.5
96.0,1.5
97.0,1.5
98.0,1.5
99.0,1.5
100.0,1.5
101.0,1.5
102.0,1.5
103.0,1.5
104.0,1.5
105.0,1.5
106.0,1.5
107.0,1.5
108.0,1.5
109.0,1.5
110.0,1.5
111.0,1.5
112.0,1.5
113.0,1.5
114.0,1.5
115.0,1.5
116.0,1.5
117.0,1.5
118.0,1.5
119.0,1.5
120.0,1.5
121.0,1.5
122.0,1.5
123.0,1.5
124.0,1.5
125.0,1.5
126.0,1.5
127.0,1.5
128.0,1.5
129.0,1.5
130.0,1.5
131.0,1.5
132.0,1.5
133.0,1.5
134.0,1.5
135.0,1.5
136.0,1.5
137.0,1.5
138.0,1.5
139.0,1.5
140.0,1.5
141.0,1.5
142.0,1.5
143.0,1.5
144.0,1.5
145.0,1.5
146.0,1.5
147.0,1.5
148.0,1.5
149.0,1.5
150.0,1.5
