tenor,corridor_skew,erp
1.0,0.3268,0.3268
2.0,1.8229,1.8229
3.0,0.4988,0.4988
4.0,0.4584,0.4584
5.0,0.2462,0.2462
6.0,0.6706,0.6706
7.0,0.6706,0.6706
8.0,0.6706,0.6706
9.0,0.6706,0.6706
10.0,0.6706,0.6706
11.0,0.6706,0.6706
12.0,0.6706,0.6706
13.0,0.6706,0.6706
14.0,0.6706,0.6706
15.0,0.6706,0.6706
16.0,0.6706,0.6706
17.0,0.6706,0.6706
18.0,0.6706,0.6706
19.0,0.6706,0.6706
20.0,0.6706,0.6706
21.0,0.6706,0.6706
22.0,0.6706,0.6706
23.0,0.6706,0.6706
24.0,0.6706,0.6706
25.0,0.6706,0.6706
26.0,0.6706,0.6706
27.0,0.6706,0.6706
28.0,0.6706,0.6706
29.0,0.6706,0.6706
30.0,0.6706,0.6706
