tenor,corridor_skew,erp
1.0,0.0957,0.0957
2.0,0.0957,0.0957
3.0,0.0957,0.0957
4.0,0.0957,0.0957
5.0,0.0957,0.0957
6.0,0.0957,0.0957
7.0,0.0957,0.0957
8.0,0.0957,0.0957
9.0,0.0957,0.0957
10.0,0.0957,0.0957
11.0,0.0957,0.0957
12.0,0.0957,0.0957
13.0,0.0957,0.0957
14.0,0.0957,0.0957
15.0,0.0957,0.0957
16.0,0.0957,0.0957
17.0,0.0957,0.0957
18.0,0.0957,0.0957
19.0,0.0957,0.0957
20.0,0.0957,0.0957
21.0,0.0957,0.0957
22.0,0.0957,0.0957
23.0,0.0957,0.0957
24.0,0.0957,0.0957
25.0,0.0957,0.0957
26.0,0.0957,0.0957
27.0,0.0957,0.0957
28.0,0.0957,0.0957
29.0,0.0957,0.0957
30.0,0.0957,0.0957
