tenor,corridor_skew,erp
1.0,0.3111,0.3111
2.0,0.2685,0.2685
3.0,0.127,0.127
4.0,0.1227,0.1227
5.0,0.0662,0.0662
6.0,0.1791,0.1791
7.0,0.1791,0.1791
8.0,0.1791,0.1791
9.0,0.1791,0.1791
10.0,0.1791,0.1791
11.0,0.1791,0.1791
12.0,0.1791,0.1791
13.0,0.1791,0.1791
14.0,0.1791,0.1791
15.0,0.1791,0.1791
16.0,0.1791,0.1791
17.0,0.1791,0.1791
18.0,0.1791,0.1791
19.0,0.1791,0.1791
20.0,0.1791,0.1791
21.0,0.1791,0.1791
22.0,0.1791,0.1791
23.0,0.1791,0.1791
24.0,0.1791,0.1791
25.0,0.1791,0.1791
26.0,0.1791,0.1791
27.0,0.1791,0.1791
28.0,0.1791,0.1791
29.0,0.1791,0.1791
30.0,0.1791,0.1791
