,real_yield,market_erp,idio_erp,coe_real,exp_infl,coe_nominal,ticker
1996-10,3.092,4.334,2.382,9.808,2.747,12.555,POOL
1996-11,3.104,4.356,2.351,9.811,2.756,12.568,POOL
1996-12,3.096,4.314,3.176,10.586,2.75,13.336,POOL
1997-01,3.048,4.34,2.217,9.605,2.717,12.323,POOL
1997-02,3.091,4.363,2.939,10.393,2.705,13.098,POOL
1997-03,3.138,4.343,2.668,10.149,2.672,12.82,POOL
1997-04,3.086,4.266,2.554,9.906,2.639,12.545,POOL
1997-05,3.14,4.354,2.297,9.791,2.607,12.399,POOL
1997-06,3.127,4.401,3.022,10.55,2.6,13.15,POOL
1997-07,3.097,4.455,2.548,10.1,2.583,12.683,POOL
1997-08,3.149,4.427,2.725,10.301,2.572,12.873,POOL
1997-09,3.222,4.429,2.27,9.921,2.555,12.476,POOL
1997-10,3.246,4.408,3.863,11.517,2.54,14.057,POOL
1997-11,3.233,4.358,4.655,12.246,2.51,14.757,POOL
1997-12,3.26,4.379,4.202,11.841,2.491,14.333,POOL
1998-01,3.143,4.374,3.101,10.618,2.473,13.091,POOL
1998-02,3.314,4.426,2.751,10.491,2.455,12.946,POOL
1998-03,3.33,4.503,2.555,10.388,2.444,12.832,POOL
1998-04,3.3,4.532,2.444,10.276,2.443,12.719,POOL
1998-05,3.37,4.512,1.797,9.679,2.457,12.136,POOL
1998-06,3.395,4.489,1.582,9.466,2.453,11.919,POOL
1998-07,3.356,4.547,2.061,9.964,2.449,12.413,POOL
1998-08,3.358,4.538,2.664,10.56,2.442,13.002,POOL
1998-09,3.347,4.626,2.528,10.501,2.431,12.932,POOL
1998-10,3.084,4.633,1.868,9.585,2.43,12.015,POOL
1998-11,3.258,4.97,1.654,9.882,2.435,12.317,POOL
1998-12,3.302,5.052,1.898,10.252,2.441,12.693,POOL
1999-01,3.607,5.129,1.649,10.385,2.448,12.833,POOL
1999-02,3.8,5.142,1.329,10.271,2.446,12.717,POOL
1999-03,3.736,5.194,1.386,10.316,2.459,12.774,POOL
1999-04,3.714,5.236,2.641,11.591,2.504,14.095,POOL
1999-05,3.697,5.245,2.819,11.761,2.495,14.256,POOL
1999-06,3.841,5.221,4.134,13.196,2.491,15.687,POOL
1999-07,3.807,5.21,3.413,12.43,2.51,14.94,POOL
1999-08,3.873,5.246,2.932,12.051,2.525,14.576,POOL
1999-09,3.912,5.249,1.905,11.066,2.558,13.624,POOL
1999-10,3.948,5.25,1.938,11.136,2.559,13.696,POOL
1999-11,3.963,5.365,1.885,11.213,2.57,13.782,POOL
1999-12,4.106,5.426,1.932,11.464,2.581,14.045,POOL
2000-01,4.141,5.422,1.732,11.295,2.591,13.886,POOL
2000-02,4.074,5.43,1.73,11.234,2.633,13.867,POOL
2000-03,3.851,5.454,2.32,11.625,2.678,14.303,POOL
2000-04,3.912,5.381,3.15,12.443,2.631,15.074,POOL
2000-05,4.053,5.257,3.371,12.681,2.644,15.325,POOL
2000-06,3.857,5.273,2.563,11.693,2.687,14.38,POOL
2000-07,3.944,5.178,2.167,11.289,2.684,13.973,POOL
2000-08,3.878,5.165,2.278,11.321,2.667,13.988,POOL
2000-09,3.882,5.154,2.446,11.482,2.67,14.152,POOL
2000-10,3.827,5.158,2.651,11.636,2.67,14.305,POOL
2000-11,3.739,5.13,3.072,11.941,2.668,14.609,POOL
2000-12,3.59,5.125,3.523,12.238,2.662,14.9,POOL
2001-01,3.454,5.123,3.435,12.012,2.685,14.697,POOL
2001-02,3.219,5.026,3.211,11.456,2.667,14.123,POOL
2001-03,3.256,5.09,2.553,10.899,2.616,13.515,POOL
2001-04,3.176,5.075,2.412,10.663,2.637,13.301,POOL
2001-05,3.066,5.255,2.513,10.834,2.658,13.492,POOL
2001-06,3.183,5.228,2.549,10.96,2.624,13.584,POOL
2001-07,3.08,5.172,2.846,11.098,2.577,13.676,POOL
2001-08,3.111,4.984,2.476,10.571,2.57,13.141,POOL
2001-09,2.89,5.195,3.08,11.165,2.557,13.722,POOL
2001-10,2.735,5.248,2.655,10.638,2.511,13.149,POOL
2001-11,3.067,5.029,2.641,10.737,2.486,13.224,POOL
2001-12,3.056,5.047,2.272,10.375,2.454,12.829,POOL
2002-01,3.05,4.983,2.026,10.059,2.418,12.476,POOL
2002-02,2.922,4.992,2.127,10.041,2.413,12.454,POOL
2002-03,3.149,5.064,1.979,10.192,2.435,12.627,POOL
2002-04,2.745,5.067,2.004,9.816,2.446,12.262,POOL
2002-05,2.787,5.015,2.048,9.85,2.41,12.26,POOL
2002-06,2.78,4.985,1.947,9.712,2.402,12.114,POOL
2002-07,2.568,5.058,1.787,9.413,2.433,11.846,POOL
2002-08,2.312,5.074,2.075,9.461,2.46,11.922,POOL
2002-09,2.09,5.06,2.508,9.658,2.442,12.099,POOL
2002-10,2.361,4.929,2.295,9.585,2.484,12.069,POOL
2002-11,2.481,4.934,2.015,9.43,2.501,11.931,POOL
2002-12,2.118,4.975,1.615,8.708,2.519,11.227,POOL
2003-01,2.095,4.969,1.523,8.587,2.54,11.127,POOL
