yr,coe_real_dec,coe_nom_dec,coe_real_mean,coe_nom_mean,idio
1996,10.59,13.34,10.07,12.82,3.18
1997,11.84,14.33,10.53,13.13,4.2
1998,10.25,12.69,10.14,12.58,1.9
1999,11.46,14.04,11.41,13.92,1.93
2000,12.24,14.9,11.74,14.4,3.52
2001,10.37,12.83,10.95,13.54,2.27
2002,8.71,11.23,9.66,12.11,1.61
2003,10.45,12.99,9.28,11.82,2.93
2004,8.74,11.5,9.63,12.29,2.0
2005,7.76,10.6,8.12,10.93,1.81
2006,7.5,10.23,7.8,10.61,1.43
2007,7.44,10.22,7.81,10.52,2.15
2008,10.34,12.59,9.19,11.86,2.8
2009,10.53,12.73,10.17,12.23,3.39
2010,9.1,11.13,9.64,11.71,1.87
2011,8.52,10.61,9.04,11.18,1.55
2012,7.87,9.72,8.52,10.46,1.04
2013,5.54,7.27,6.24,8.02,1.03
2014,6.04,7.64,5.57,7.27,1.88
2015,5.74,7.39,6.13,7.7,1.18
2016,5.57,7.52,5.71,7.5,1.39
2017,5.63,7.79,5.65,7.72,1.64
2018,6.28,8.63,5.96,8.26,1.91
2019,5.22,7.84,5.78,8.24,0.95
2020,10.62,13.54,8.84,11.56,2.45
2021,10.62,14.49,10.64,14.1,2.59
2022,8.68,12.67,8.94,13.02,1.91
2023,8.08,11.62,8.0,11.71,2.57
2024,7.99,11.34,8.25,11.66,1.9
2025,8.72,12.0,7.75,11.05,2.72
2026,10.25,13.59,9.03,12.35,4.01
