yr,coe_real_dec,coe_nom_dec,coe_real_mean,coe_nom_mean,idio
1984,8.55,13.06,8.58,13.12,1.17
1985,7.99,12.15,8.43,12.71,0.64
1986,7.72,11.49,7.82,11.7,0.78
1987,9.16,13.23,8.12,12.11,1.7
1988,9.12,13.24,9.22,13.29,1.02
1989,9.94,14.08,9.63,13.79,1.57
1990,7.43,11.56,9.09,13.23,1.2
1991,7.99,11.6,7.77,11.61,1.52
1992,7.73,11.07,7.73,11.19,1.09
1993,7.91,11.02,8.1,11.33,1.27
1994,8.06,11.01,8.12,11.13,1.13
1995,8.88,11.7,8.41,11.3,1.6
1996,8.35,11.1,8.69,11.46,0.94
1997,9.46,11.95,8.94,11.54,1.82
1998,9.79,12.23,9.77,12.21,1.43
1999,11.72,14.31,11.15,13.67,2.19
2000,11.57,14.24,11.65,14.31,2.86
2001,10.99,13.44,10.82,13.4,2.88
2002,10.12,12.64,10.4,12.84,3.03
2003,9.69,12.23,9.95,12.49,2.16
2004,7.75,10.51,8.84,11.5,1.01
2005,6.64,9.48,7.03,9.84,0.7
2006,7.32,10.05,7.29,10.1,1.25
2007,6.7,9.47,6.93,9.64,1.4
2008,9.82,12.07,7.4,10.07,2.29
2009,8.0,10.2,8.37,10.42,0.85
2010,8.06,10.1,8.18,10.25,0.83
2011,7.97,10.06,8.12,10.27,1.0
2012,8.23,10.08,8.23,10.18,1.4
2013,5.72,7.45,6.37,8.14,1.21
2014,5.12,6.72,5.4,7.1,0.96
2015,5.26,6.91,5.42,6.98,0.7
2016,6.3,8.24,5.41,7.2,2.11
2017,6.42,8.58,5.63,7.69,2.42
2018,5.42,7.77,5.57,7.86,1.04
2019,5.61,8.22,5.43,7.89,1.33
2020,9.13,12.05,8.37,11.1,0.95
2021,10.59,14.46,9.87,13.33,2.55
2022,9.39,13.38,9.78,13.86,2.62
2023,7.15,10.69,8.0,11.71,1.64
2024,7.01,10.36,7.21,10.63,0.92
2025,8.3,11.58,7.54,10.83,2.3
2026,9.4,12.75,8.44,11.77,3.16
