yr,coe_real_dec,coe_nom_dec,coe_real_mean,coe_nom_mean,idio
1973,11.91,18.67,10.86,17.43,6.07
1974,11.57,19.17,11.4,18.67,4.86
1975,11.49,18.83,12.59,20.05,3.58
1976,10.66,17.99,11.42,18.73,2.85
1977,9.09,16.91,9.75,17.39,2.43
1978,7.79,16.21,8.32,16.43,1.3
1979,8.74,17.79,8.07,16.85,2.34
1980,9.15,17.91,8.98,17.98,1.69
1981,9.25,16.93,9.63,17.83,1.2
1982,10.85,16.91,10.18,17.0,2.35
1983,9.38,14.48,10.15,15.61,1.91
1984,9.01,13.52,9.47,14.26,1.63
1985,9.1,13.25,9.36,13.64,1.74
1986,7.95,11.72,8.58,12.47,1.0
1987,8.37,12.45,8.3,12.29,0.92
1988,8.97,13.1,8.62,12.7,0.88
1989,9.15,13.29,9.04,13.2,0.78
1990,7.35,11.48,8.72,12.86,1.12
1991,8.55,12.17,7.89,11.73,2.08
1992,7.5,10.84,7.89,11.36,0.86
1993,8.97,12.08,7.9,11.12,2.34
1994,8.6,11.56,8.6,11.62,1.67
1995,9.88,12.7,8.88,11.77,2.6
1996,9.67,12.42,9.48,12.26,2.26
1997,9.12,11.61,9.34,11.94,1.48
1998,10.76,13.2,9.77,12.22,2.4
1999,12.02,14.6,11.0,13.51,2.49
2000,11.36,14.02,11.96,14.62,2.64
2001,9.34,11.79,10.11,12.69,1.24
2002,8.29,10.81,9.21,11.66,1.2
2003,9.26,11.81,8.68,11.22,1.74
2004,7.59,10.35,8.58,11.24,0.85
2005,7.11,9.95,7.15,9.97,1.17
2006,7.48,10.2,7.52,10.34,1.4
2007,6.43,9.2,6.89,9.61,1.13
2008,8.44,10.69,7.04,9.71,0.91
2009,8.58,10.79,8.43,10.49,1.44
2010,7.81,9.84,8.08,10.16,0.58
2011,8.37,10.46,8.2,10.35,1.4
2012,8.55,10.41,8.42,10.37,1.73
2013,5.69,7.42,6.52,8.3,1.18
2014,5.64,7.24,5.49,7.19,1.48
2015,6.69,8.33,5.8,7.37,2.13
2016,4.91,6.85,5.49,7.27,0.72
2017,6.23,8.39,5.56,7.62,2.24
2018,6.01,8.36,6.07,8.37,1.64
2019,4.94,7.55,5.29,7.75,0.66
2020,10.05,12.97,8.5,11.22,1.88
2021,9.36,13.23,9.64,13.1,1.33
2022,8.37,12.36,8.42,12.5,1.59
2023,6.64,10.18,6.83,10.54,1.12
2024,7.31,10.65,7.0,10.42,1.22
2025,7.55,10.83,7.47,10.76,1.55
2026,7.82,11.17,7.61,10.93,1.59
